dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,ea_ratio,pool_size,acq
pareto_20201218,ea20_p40_ucb2,9,5.44426438452636,-1.9304201262287157,0.14231863694654603,0.5714571754640018,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,10,5.44426438452636,-1.9304201262287157,0.16862640616095434,0.6231444746504866,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,11,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6266486025068974,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,12,5.44426438452636,-1.9304201262287157,0.6052342266545373,0.7102896108862354,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,13,5.44426438452636,-1.9304201262287157,0.03707029581911419,0.5783514470276931,3.295055144471652,0.6052342266544262,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,14,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.5953785470897119,3.295055144471652,0.6052342266544262,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,15,5.44426438452636,-1.9304201262287157,0.20270980841072048,0.46127007773687007,2.173265080528347,0.3991843391560451,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,16,5.44426438452636,-1.9304201262287157,0.46210013501391495,0.6945034906227108,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,17,5.44426438452636,-1.9304201262287157,0.006682810262795429,0.6419713213307805,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,18,5.44426438452636,-1.9304201262287157,0.37159487618626297,0.6225058686098612,3.31642191643393,0.6091588655869149,-1,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_ucb2,19,5.44426438452636,-1.9304201262287157,0.15697287069571897,0.9027572262462691,5.44426438452636,0.9999999999998163,5,0,0.0,0,flat,0.2,40.0,ucb2
pareto_20201218,ea20_p40_rand,0,5.44426438452636,-1.9304201262287157,0.39832550833358316,0.6465948487782764,3.295055144471652,0.6052342266544262,-1,0,0.0,0,flat,0.2,40.0,
