dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,batch_size,refit
hartmann6,batch8_refit,5,1.7914431443280272,0.0001950575971415,0.07995088424058891,0.7385668453486762,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,6,1.7914431443280272,0.0001950575971415,0.12824218389169903,0.8906203898723213,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,7,1.7914431443280272,0.0001950575971415,0.3582180283520165,0.828571950031143,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,8,1.7914431443280272,0.0001950575971415,0.08921943774938301,0.9089120258484762,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,9,1.7914431443280272,0.0001950575971415,0.8119295856233414,0.8687129457977616,1.7914431443280272,0.9999999999994418,37,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,10,1.7914431443280272,0.0001950575971415,0.41884855836326584,0.859944698398206,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,11,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.9089297197011768,1.7914431443280272,0.9999999999994418,5,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,12,1.7914431443280272,0.0001950575971415,0.0893963570108011,0.706553714211231,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,13,1.7914431443280272,0.0001950575971415,0.30705316798911725,0.7089306380674373,1.7914431443280272,0.9999999999994418,21,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,14,1.7914431443280272,0.0001950575971415,0.5277412980450483,0.8930294936794538,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,15,1.7914431443280272,0.0001950575971415,0.6605046370631522,0.7240730717231412,1.454525689842031,0.8119295856228881,-1,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,16,1.7914431443280272,0.0001950575971415,0.6565749876852086,0.8990707524654462,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,17,1.7914431443280272,0.0001950575971415,0.8613005066045224,0.9639342047673425,1.7914431443280272,0.9999999999994418,13,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,18,1.7914431443280272,0.0001950575971415,0.12304381533818813,0.7161744102809966,1.7914431443280272,0.9999999999994418,29,0,0.0,0,multimodal,8.0,True
hartmann6,batch8_refit,19,1.7914431443280272,0.0001950575971415,1.0,1.0,1.7914431443280272,0.9999999999994418,0,0,0.0,0,multimodal,8.0,True
