domain_seed,condition,campaign,auc,batches_to_90,final_hv
43,hint_fixed_ucb,13,0.44017899924875264,2,15.991620522120703
43,hint_fixed_ucb,14,-0.6712347055504687,0,16.45094910079181
43,hint_fixed_ucb,15,-0.3360954900061205,0,16.1092456550719
43,hint_fixed_ucb,16,-1.551415272837525,0,16.65734785360123
43,hint_fixed_ucb,17,-0.15089774984633145,0,15.979217924939116
43,hint_fixed_ucb,18,-0.4028191367782447,0,16.243302610358295
43,hint_fixed_ucb,19,-0.2122597717595903,0,16.078683271720493
43,phase_decaying_ucb,0,-0.7941483788738373,0,16.47339167792941
43,phase_decaying_ucb,1,-0.8687560464275893,1,16.552950907180144
43,phase_decaying_ucb,2,0.2788422320591904,1,15.650321812062682
43,phase_decaying_ucb,3,-0.8326910979557854,1,16.488509806559495
43,phase_decaying_ucb,4,-0.16359050936029793,1,16.191173174143216
43,phase_decaying_ucb,5,-0.5418777465351811,0,16.275654779129678
43,phase_decaying_ucb,6,0.10007259383646014,0,15.835181477947893
43,phase_decaying_ucb,7,-0.300446216716814,0,16.154437277986535
43,phase_decaying_ucb,8,-0.815400597429839,0,16.419213260791565
43,phase_decaying_ucb,9,-1.1003266743596536,0,16.602361683595685
43,phase_decaying_ucb,10,0.717895475346312,6,14.848540806685078
43,phase_decaying_ucb,11,-2.032813608140947,0,16.71593722722569
43,phase_decaying_ucb,12,-0.29345238820496533,1,16.205933992380718
43,phase_decaying_ucb,13,0.3044810002483125,2,16.093904989663756
43,phase_decaying_ucb,14,-0.5934770913674215,0,16.35683145783174
43,phase_decaying_ucb,15,-0.18770033361634283,0,16.000652431402123
43,phase_decaying_ucb,16,-1.4980659945617536,0,16.61043893936285
43,phase_decaying_ucb,17,-0.16259012381133894,0,16.01829679969958
43,phase_decaying_ucb,18,-0.39873794859263917,0,16.212112379546504
43,phase_decaying_ucb,19,-0.1761527784533427,0,16.061232615261567
44,gen6_child0_beta1,0,-0.6876026549984807,0,11.365737900489162
44,gen6_child0_beta1,1,-0.5127141565896919,1,11.43049082962192
44,gen6_child0_beta1,2,-0.6499362223123824,0,11.239541637758972
44,gen6_child0_beta1,3,-0.47222119917871214,1,11.288835873940277
44,gen6_child0_beta1,4,-0.5548773380363595,0,11.17818768740009
44,gen6_child0_beta1,5,-0.19043021916836228,1,11.047915347567708
44,gen6_child0_beta1,6,-0.21538891931632684,2,11.155633266656633
44,gen6_child0_beta1,7,-0.5096276499036098,0,11.16624192727511
44,gen6_child0_beta1,8,-0.31008807457944604,0,11.103737058006207
44,gen6_child0_beta1,9,-0.9466344770882767,0,11.429688151332519
44,gen6_child0_beta1,10,-0.13241609809988844,1,10.931223106362454
44,gen6_child0_beta1,11,0.7237378172062848,6,9.798281819584432
44,gen6_child0_beta1,12,-0.2973318173601666,1,11.156322373955959
44,gen6_child0_beta1,13,-1.200590826847782,0,11.496643952173084
44,gen6_child0_beta1,14,-0.4568261238477248,0,11.149859210303218
44,gen6_child0_beta1,15,-0.3420095913883149,0,11.187982542138492
44,gen6_child0_beta1,16,0.1501462037252352,3,10.590214481504423
44,gen6_child0_beta1,17,0.7737254015015483,6,9.58779855350513
44,gen6_child0_beta1,18,0.23602639477411752,2,10.6986258786891
44,gen6_child0_beta1,19,-1.10246288225459,0,11.45567295493103
